iter	RMSE
323	40078.42309
324	40038.87459
325	40016.1284
326	39969.82138
327	39885.13912
328	39836.82281
329	39778.92558
330	39740.08861
331	39724.60082
332	39668.55265
333	39654.73636
334	39604.14359
335	39556.62211
336	39507.97649
337	39456.01988
338	39409.53093
339	39341.04582
340	39299.00524
341	39242.03546
342	39197.89841
343	39165.57762
344	39121.48471
345	39102.29827
346	39014.43784
347	38962.57315
348	38887.02717
349	38857.20339
350	38808.94724
351	38799.05015
352	38748.29075
353	38703.10433
354	38675.77005
355	38620.87456
356	38545.97651
357	38508.00382
358	38495.54767
359	38470.12552
360	38436.04733
361	38430.5014
362	38387.58501
363	38366.29285
364	38338.11418
365	38296.21454
366	38241.85494
367	38222.45629
368	38176.20777
369	38167.50687
370	38123.22938
371	38090.50442
372	38067.31582
373	38022.8821
374	37985.41188
375	37943.04541
376	37910.45098
377	37850.2722
378	37840.44229
379	37793.87895
380	37777.16979
381	37734.03287
382	37693.85004
383	37656.00483
384	37640.8884
385	37593.90296
386	37553.68952
387	37522.68892
388	37444.55159
389	37405.22764
390	37332.43474
391	37290.84656
392	37256.5496
393	37203.00712
394	37159.01745
395	37112.40224
396	37060.0456
397	37031.46224
398	36980.43302
399	36940.37709
400	36904.13117
401	36878.78859
402	36829.36271
403	36791.30235
404	36755.92721
405	36703.7299
406	36676.98048
407	36626.91183
408	36606.40759
409	36586.77349
410	36557.24989
411	36532.0665
412	36510.74689
413	36484.61745
414	36435.35782
415	36420.88062
416	36387.57761
417	36345.08936
418	36318.7443
419	36303.1244
420	36232.51468
421	36193.69929
422	36164.21012
423	36149.06661
424	36115.22472
425	36061.69354
426	35984.16332
427	35965.98261
428	35930.91851
429	35903.53862
430	35870.63214
431	35833.25076
432	35808.59615
433	35777.13978
434	35744.00887
435	35714.11176
436	35699.47488
437	35670.4054
438	35643.24182
439	35631.81345
440	35602.32949
441	35570.05098
442	35519.48354
443	35498.92816
444	35458.4124
445	35391.29746
446	35326.41062
447	35308.11728
448	35245.26765
449	35196.34166
450	35164.1113
451	35136.53412
452	35087.56765
453	35067.80279
454	35052.88382
455	35048.8873
456	35011.69641
457	34966.06805
458	34926.61541
459	34904.98751
460	34864.87994
461	34838.92611
462	34801.91584
463	34792.28302
464	34784.45929
465	34755.20388
466	34719.5061
467	34673.58499
468	34649.60231
469	34618.29011
470	34591.01795
471	34548.26444
472	34536.61685
473	34503.30842
474	34486.06949
475	34454.82645
476	34440.76678
477	34430.97162
478	34423.23096
479	34369.25067
480	34333.62634
481	34304.86075
482	34269.87336
483	34245.53057
484	34230.18851
485	34205.31652
486	34163.59614
487	34136.52893
488	34098.16309
489	34076.65609
490	34053.75254
491	34014.20703
492	33980.47984
493	33952.62959
494	33927.0658
495	33897.92094
496	33874.12705
497	33831.96381
498	33789.0595
499	33760.6383
500	33722.24854
501	33671.85736
502	33625.1933
503	33605.45469
504	33570.31412
505	33531.31133
506	33504.29627
507	33476.70299
508	33456.94437
509	33423.7154
510	33391.33082
511	33360.88031
512	33327.32515
513	33306.21151
514	33278.90769
515	33245.19192
516	33207.0622
517	33178.81615
518	33147.19997
519	33120.26341
520	33084.27849
521	33056.08111
522	33016.47513
523	32980.48074
524	32944.59454
525	32913.58677
526	32887.57043
527	32842.68868
528	32815.70476
529	32774.22601
530	32759.76251
531	32733.64202
532	32701.38009
533	32679.91835
534	32648.7724
535	32615.54314
536	32595.10758
537	32577.30084
538	32520.32652
539	32489.38489
540	32468.52425
541	32406.33631
542	32380.39274
543	32345.70123
544	32315.70031
545	32282.0878
546	32249.4119
547	32223.30447
548	32208.38188
549	32194.55492
550	32180.8692
551	32144.10412
552	32126.00541
553	32102.69471
554	32077.30808
555	32070.59706
556	32046.21422
557	32004.83583
558	31959.36826
559	31950.1046
560	31904.35163
561	31875.17674
562	31819.1145
563	31803.94088
564	31781.85359
565	31758.37936
566	31724.73307
567	31706.81576
568	31679.36763
569	31658.94759
570	31639.85158
571	31603.10793
572	31580.79895
573	31551.51621
574	31542.81358
575	31520.83832
576	31495.32766
577	31477.96055
578	31458.12177
579	31423.66662
580	31398.69242
581	31372.17217
582	31353.61407
583	31331.90298
584	31306.45864
585	31283.57547
586	31247.25059
587	31211.9242
588	31188.47692
589	31157.75797
590	31126.16744
591	31108.73218
592	31089.58635
593	31065.3765
594	31052.97717
595	31037.74808
596	31018.00716
597	30992.2958
598	30965.0778
599	30950.45656
600	30929.11586
601	30910.20152
602	30881.80108
603	30845.47717
604	30822.81867
605	30805.77798
606	30792.80396
607	30758.48474
608	30736.79818
609	30713.51621
610	30681.37685
611	30672.39612
612	30656.36944
613	30621.04893
614	30584.41648
615	30574.37319
616	30539.36189
617	30514.60934
618	30475.61023
619	30443.45511
620	30424.80758
621	30396.48882
622	30376.42025
623	30361.89208
624	30327.43081
625	30301.83315
626	30254.76126
627	30245.8489
628	30220.42004
629	30177.22789
630	30152.21437
631	30132.53158
632	30105.03726
633	30084.80315
634	30046.97942
635	30023.58317
636	29985.04912
637	29961.8548
638	29932.79848
639	29913.25561
640	29901.07427
641	29869.07924
642	29839.32365
643	29819.46709
644	29799.42134
645	29791.00196
646	29772.05817
647	29753.51529
648	29735.95895
649	29719.68055
650	29710.96739
651	29668.19742
652	29644.56608
653	29627.86308
654	29613.35878
655	29609.03108
656	29575.8866
657	29541.71678
658	29518.48521
659	29489.14167
660	29461.45631
661	29447.78473
662	29425.43162
663	29402.27003
664	29379.38389
665	29357.27696
666	29337.12823
667	29324.76315
668	29316.06911
669	29296.64688
670	29282.21173
671	29264.87714
672	29242.50457
673	29216.16668
674	29187.05016
675	29159.22921
676	29143.77698
677	29129.21333
678	29100.59554
679	29078.32317
680	29058.48953
681	29044.14644
682	29030.26441
683	29006.12657
684	28997.95602
685	28975.86153
686	28933.59396
687	28908.05924
688	28891.90389
689	28873.55846
690	28840.89105
691	28825.70211
692	28811.29248
693	28775.14476
694	28768.17152
695	28745.1543
696	28724.27566
697	28700.59697
698	28673.46478
699	28658.99751
700	28650.6619
701	28628.29048
702	28599.50217
703	28579.60037
704	28547.65353
705	28526.99567
706	28507.9018
707	28486.27099
708	28469.7293
709	28450.52718
710	28432.57995
711	28416.32437
712	28397.71545
713	28372.54542
714	28365.91552
715	28352.81474
716	28326.22259
717	28297.95899
718	28264.9961
719	28252.7641
720	28238.43813
721	28205.3899
722	28188.36231
723	28171.76421
724	28146.25027
725	28121.21589
726	28108.82921
727	28096.9356
728	28074.85203
729	28050.7761
730	28017.46147
731	27998.38144
732	27962.09731
733	27941.92142
734	27921.99631
735	27908.91826
736	27886.9222
737	27863.3818
738	27830.18782
739	27811.23359
740	27784.9015
741	27760.72998
742	27746.0158
743	27742.86406
744	27707.54943
745	27684.88121
746	27662.59094
747	27644.90173
748	27625.5171
749	27606.40969
750	27584.33154
751	27568.26464
752	27548.9521
753	27536.02579
754	27515.88136
755	27499.42391
756	27477.61996
757	27463.30612
758	27445.74412
759	27419.34786
760	27401.81621
761	27384.20626
762	27353.82503
763	27338.01974
764	27328.83762
765	27311.82225
766	27288.76096
767	27267.49524
768	27240.41213
769	27210.8116
770	27194.97614
771	27165.59061
772	27152.76974
773	27133.19349
774	27123.75952
775	27093.99032
776	27084.65118
777	27069.84366
778	27039.91869
779	27008.00433
780	26988.36723
781	26966.39868
782	26945.63209
783	26936.40889
784	26917.39248
785	26894.1953
786	26873.74606
787	26856.25656
788	26836.14191
789	26812.32774
790	26781.62166
791	26752.07871
792	26729.57264
793	26708.14286
794	26688.20749
795	26665.22001
796	26640.67409
797	26614.4924
798	26585.16244
799	26574.39245
800	26564.9617
801	26538.82931
802	26516.7182
803	26511.17388
804	26487.27922
805	26472.7117
806	26444.86217
807	26428.87983
808	26389.62489
809	26384.99989
810	26375.75912
811	26346.95999
812	26333.50896
813	26317.10539
814	26299.92613
815	26277.85251
816	26245.98985
817	26227.60414
818	26212.90583
819	26199.7658
820	26179.23954
821	26162.4212
822	26147.86597
823	26137.74526
824	26113.6433
825	26096.53492
826	26083.62725
827	26078.47904
828	26071.05004
829	26056.99177
830	26042.23723
831	26023.53102
832	26003.13797
833	25974.5977
834	25950.09891
835	25925.54957
836	25908.70825
837	25884.59216
838	25851.13887
839	25839.29645
840	25828.05065
841	25809.26186
842	25784.36594
843	25766.37715
844	25745.88538
845	25728.87339
846	25695.38244
847	25672.3725
848	25647.03086
849	25630.08351
850	25603.94635
851	25590.65519
852	25569.84204
853	25567.72041
854	25549.95012
855	25538.63671
856	25511.91177
857	25499.79225
858	25470.80063
859	25443.95444
860	25411.11808
861	25390.9173
862	25357.38415
863	25340.146
864	25322.54656
865	25302.32987
866	25290.75442
867	25279.35151
868	25266.17676
869	25250.31591
870	25234.50912
871	25221.34726
872	25208.65301
873	25187.41443
874	25172.03928
875	25145.98766
876	25117.2133
877	25092.79171
878	25073.52079
879	25053.20666
880	25044.48826
881	25023.97071
882	25000.43691
883	24983.70876
884	24969.31346
885	24952.52501
886	24942.62406
887	24929.29945
888	24922.20744
889	24911.78964
890	24898.93844
891	24873.24643
892	24858.49536
893	24840.95583
894	24820.43287
895	24787.81791
896	24762.45715
897	24745.07066
898	24731.78873
899	24714.17535
900	24695.73497
901	24674.20615
902	24663.19141
903	24651.15118
904	24622.38745
905	24603.35361
906	24597.50844
907	24575.5928
908	24552.78931
909	24542.98999
910	24523.31795
911	24511.62319
912	24471.70821
913	24457.87495
914	24449.58899
915	24438.97091
916	24427.73427
917	24408.51689
918	24392.43754
919	24376.48733
920	24362.43599
921	24349.93743
922	24346.52897
923	24336.56373
924	24325.58639
925	24315.74625
926	24301.24061
927	24289.55347
928	24269.00033
929	24252.87348
930	24237.87077
931	24212.49855
932	24200.58972
933	24189.22478
934	24170.17242
935	24159.61689
936	24147.19907
937	24138.06958
938	24102.42173
939	24090.93979
940	24077.41347
941	24058.43859
942	24047.17377
943	24033.82549
944	24019.53689
945	24009.46959
946	23993.46403
947	23982.58672
948	23968.88806
949	23958.35216
950	23939.32849
951	23927.45157
952	23913.31475
953	23893.78659
954	23871.23074
955	23861.84157
956	23858.35436
957	23845.05416
958	23832.14569
959	23814.25338
960	23807.76837
961	23789.82257
962	23775.18834
963	23763.22563
964	23752.47416
965	23735.1652
966	23718.09335
967	23704.53989
968	23670.86947
969	23640.99439
970	23618.87683
971	23605.81589
972	23580.76056
973	23555.01565
974	23537.61392
975	23517.72303
976	23500.17016
977	23488.71955
978	23478.41784
979	23466.84621
980	23456.17901
981	23439.12394
982	23423.33733
983	23409.98121
984	23395.62467
985	23386.35889
986	23373.65074
987	23355.8432
988	23343.94476
989	23319.94811
990	23293.43966
991	23280.45475
992	23267.51764
993	23247.36243
994	23230.11085
995	23213.76923
996	23202.97703
997	23191.35405
998	23171.94214
999	23159.38197
